player_id,player_name,minutes,goals,assists,goals_per_90,assists_per_90,date,market_value_in_eur,date_of_birth,position,current_club_name,current_club_domestic_competition_id,age,actual_value_m,clean_name,birth_year,Born,position_group,xG,xAG,PrgC,PrgP,PrgR,Sh,club,league,xG_per_90,xAG_per_90,PrgC_per_90,PrgP_per_90,PrgR_per_90,Sh_per_90,predicted_value_m,value_gap_m,undervaluation_pct
346853,Romano Schmid,2846,5,5,0.1581166549543218,0.1581166549543218,2025-06-05,17000000.0,2000-01-27,Midfield,SV Werder Bremen,L1,25.423682409308693,17.0,romano schmid,2000,2000.0,Midfield,4.3,6.2,107,279,201,47,SV Werder Bremen,Bundesliga,0.1359803232607168,0.1960646521433591,3.3836964160224876,8.82290934645116,6.356289529163739,1.4862965565706254,83.36213696488697,66.36213696488697,390.3655115581587
532826,Mason Greenwood,2818,21,6,0.6706884315117104,0.1916252661462029,2025-06-03,40000000.0,2001-10-01,Attack,Olympique Marseille,FR1,23.745379876796715,40.0,mason greenwood,2001,2001.0,Attack,16.3,5.7,126,157,295,111,Olympique Marseille,Ligue 1,0.5205819730305181,0.18204400283889283,4.024130589070262,5.014194464158978,9.421575585521646,3.5450674237047552,96.74929501979499,56.749295019794985,141.87323754948747
592979,Himad Abdelli,2849,6,1,0.1895401895401895,0.0315900315900315,2025-06-03,7000000.0,1999-11-17,Midfield,Olympique Marseille,FR1,25.61806981519507,7.0,himad abdelli,1999,1999.0,Midfield,6.4,3.2,107,207,111,35,Olympique Marseille,Ligue 1,0.2021762021762022,0.1010881010881011,3.38013338013338,6.53913653913654,3.5064935064935066,1.1056511056511056,57.55482620620121,50.55482620620121,722.2118029457316
148455,Mohamed Salah,3380,29,18,0.772189349112426,0.4792899408284023,2025-05-30,50000000.0,1992-06-15,Attack,Liverpool FC,GB1,33.040383299110196,50.0,mohamed salah,1992,1992.0,Attack,25.2,14.2,154,144,488,121,Liverpool FC,Premier League,0.6710059171597632,0.37810650887573966,4.100591715976331,3.834319526627219,12.994082840236688,3.22189349112426,94.86744067044069,44.867440670440686,89.73488134088137
395236,Yacine Adli,1208,4,6,0.2980132450331126,0.4470198675496689,2025-06-17,11000000.0,2000-07-29,Midfield,Al-Shabab Club,SA1,24.919917864476385,11.0,yacine adli,2000,2000.0,Midfield,1.0,2.4,24,103,30,14,Al-Shabab Club,,0.07450331125827815,0.17880794701986755,1.7880794701986755,7.673841059602649,2.2350993377483444,1.0430463576158941,55.713039192289166,44.713039192289166,406.48217447535603
192565,Leroy Sané,1634,11,6,0.605875152998776,0.3304773561811505,2025-06-05,32000000.0,1996-01-11,Attack,Galatasaray,TR1,29.46748802190281,32.0,leroy sane,1996,1996.0,Attack,10.2,5.5,75,64,266,67,Galatasaray,,0.5618115055079559,0.302937576499388,4.130966952264382,3.5250917992656055,14.651162790697676,3.6903304773561807,74.23417520442518,42.234175204425185,131.9817975138287
708265,Bradley Barcola,2193,14,11,0.5745554035567715,0.4514363885088919,2025-06-03,70000000.0,2002-09-02,Attack,Paris Saint-Germain,FR1,22.82546201232033,70.0,bradley barcola,2002,2002.0,Attack,13.4,10.1,137,96,374,74,Paris Saint-Germain,Ligue 1,0.5499316005471956,0.41450068399452805,5.622435020519836,3.9398084815321477,15.348837209302326,3.036935704514364,109.43902873977876,39.43902873977876,56.34146962825538
918969,Lamine Camara,2065,2,7,0.0871670702179176,0.3050847457627118,2025-06-03,22000000.0,2004-01-01,Midfield,AS Monaco,FR1,21.49486652977413,22.0,lamine camara,2004,2004.0,Midfield,2.3,4.4,25,141,46,26,AS Monaco,Ligue 1,0.10024213075060531,0.1917675544794189,1.089588377723971,6.145278450363197,2.0048426150121066,1.1331719128329298,58.388291726791735,36.388291726791735,165.40132603087153
554903,Mateo Retegui,2404,25,8,0.9359400998336106,0.2995008319467554,2025-06-17,45000000.0,1999-04-29,Attack,Al-Qadsiah Saudi Football Club,SA1,26.171115674195757,45.0,mateo retegui,1999,1999.0,Attack,18.9,4.9,21,46,199,99,Al-Qadsiah Saudi Football Club,,0.7075707154742096,0.1834442595673877,0.7861896838602329,1.7221297836938436,7.450083194675541,3.706322795341098,78.72076851851851,33.72076851851851,74.93504115226337
368482,Riccardo Orsolini,1886,15,5,0.7158006362672321,0.2386002120890774,2025-06-17,25000000.0,1997-01-24,Attack,Bologna Football Club 1909,IT1,28.42984257357974,25.0,riccardo orsolini,1997,1997.0,Attack,10.1,3.7,61,69,186,72,Bologna Football Club 1909,Serie A,0.48197242841993637,0.17656415694591732,2.9109225874867444,3.292682926829268,8.87592788971368,3.435843054082715,58.634783127058085,33.634783127058085,134.53913250823234
